error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,153.0780029296875,-1.0,-1.0,-9999.0,-9999,1412.0789794921875,289.0,295.0,-9999.0,-9999.0,0,6,0,289.11,22.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,153.1559944152832,-1.0,-1.0,-9999.0,-9999,224.99261474609375,289.0,295.0,-9999.0,-9999.0,6,6,0,290.11,576.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,153.23400020599365,-1.0,-1.0,-9999.0,-9999,1343.1822509765625,289.0,295.0,-9999.0,-9999.0,12,6,0,291.11,73.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,153.3120059967041,-1.0,-1.0,-9999.0,-9999,367.0418395996094,289.0,295.0,-9999.0,-9999.0,18,6,0,292.11,675.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,153.3899974822998,-1.0,-1.0,-9999.0,-9999,581.9080810546875,289.0,295.0,-9999.0,-9999.0,24,6,0,293.11,10.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,153.46800327301025,-1.0,-1.0,-9999.0,-9999,1814.5579833984375,289.0,295.0,-9999.0,-9999.0,30,6,0,294.11,56.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,153.54599475860596,-1.0,-1.0,-9999.0,-9999,1407.34521484375,289.0,295.0,-9999.0,-9999.0,36,6,0,289.11,66.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.6240005493164,-1.0,-1.0,-9999.0,-9999,129.94387817382812,289.0,295.0,-9999.0,-9999.0,42,6,0,290.11,11.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.70200634002686,-1.0,-1.0,-9999.0,-9999,982.9082641601562,289.0,295.0,-9999.0,-9999.0,48,6,0,291.11,74.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.77999782562256,-1.0,-1.0,-9999.0,-9999,634.3352661132812,289.0,295.0,-9999.0,-9999.0,54,6,0,292.11,24.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
