error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,123.09000492095947,-1.0,-1.0,-9999.0,-9999,1230.0579833984375,316.0,323.0,-9999.0,-9999.0,0,7,0,316.21,31.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,123.18099975585938,-1.0,-1.0,-9999.0,-9999,860.8416137695312,316.0,323.0,-9999.0,-9999.0,7,7,0,317.21,65.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,123.27199459075928,-1.0,-1.0,-9999.0,-9999,769.203125,316.0,323.0,-9999.0,-9999.0,14,7,0,318.21,1025.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,123.36300373077393,-1.0,-1.0,-9999.0,-9999,242.70928955078125,316.0,323.0,-9999.0,-9999.0,21,7,0,319.21,25.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,123.45399856567383,-1.0,-1.0,-9999.0,-9999,418.74969482421875,316.0,323.0,-9999.0,-9999.0,28,7,0,320.21,18.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,123.54499340057373,-1.0,-1.0,-9999.0,-9999,224.1248321533203,316.0,323.0,-9999.0,-9999.0,35,7,0,321.21,32.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,123.63600254058838,-1.0,-1.0,-9999.0,-9999,157.3558349609375,316.0,323.0,-9999.0,-9999.0,42,7,0,322.21,34.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,123.72699737548828,-1.0,-1.0,-9999.0,-9999,232.78314208984375,316.0,323.0,-9999.0,-9999.0,49,7,0,316.21,55.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,123.81800651550293,-1.0,-1.0,-9999.0,-9999,168.0956268310547,316.0,323.0,-9999.0,-9999.0,56,7,0,317.21,29.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,123.90900135040283,-1.0,-1.0,-9999.0,-9999,153.9105987548828,316.0,323.0,-9999.0,-9999.0,63,7,0,318.21,0.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
