error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,312.1039867401123,-1.0,-1.0,-9999.0,-9999,1948.617431640625,301.0,309.0,-9999.0,-9999.0,0,8,0,301.21,27.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,312.2080135345459,-1.0,-1.0,-9999.0,-9999,2585.692138671875,301.0,309.0,-9999.0,-9999.0,8,8,0,302.21,497.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.31201171875,-1.0,-1.0,-9999.0,-9999,952.9345092773438,301.0,309.0,-9999.0,-9999.0,16,8,0,303.21,1306.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,312.4160099029541,-1.0,-1.0,-9999.0,-9999,1723.837158203125,301.0,309.0,-9999.0,-9999.0,24,8,0,304.21,5.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,312.5200080871582,-1.0,-1.0,-9999.0,-9999,245.41705322265625,301.0,309.0,-9999.0,-9999.0,32,8,0,305.21,35.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,312.6240062713623,-1.0,-1.0,-9999.0,-9999,2147.27294921875,301.0,309.0,-9999.0,-9999.0,40,8,0,306.21,80.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.7280044555664,-1.0,-1.0,-9999.0,-9999,2047.404296875,301.0,309.0,-9999.0,-9999.0,48,8,0,307.21,0.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.8320026397705,-1.0,-1.0,-9999.0,-9999,2517.948486328125,301.0,309.0,-9999.0,-9999.0,56,8,0,308.21,0.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.9360008239746,-1.0,-1.0,-9999.0,-9999,2058.18310546875,301.0,309.0,-9999.0,-9999.0,64,8,0,301.21,1259.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.0430030822754,-1.0,-1.0,-9999.0,-9999,2144.8662109375,301.0,309.0,-9999.0,-9999.0,72,8,0,302.21,12.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.1470012664795,-1.0,-1.0,-9999.0,-9999,2376.6201171875,301.0,309.0,-9999.0,-9999.0,80,8,0,303.21,1108.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.2509994506836,-1.0,-1.0,-9999.0,-9999,2619.530029296875,301.0,309.0,-9999.0,-9999.0,88,8,0,304.21,5.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.3549976348877,-1.0,-1.0,-9999.0,-9999,1843.2784423828125,301.0,309.0,-9999.0,-9999.0,96,8,0,305.21,41.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.4589958190918,-1.0,-1.0,-9999.0,-9999,1129.193603515625,301.0,309.0,-9999.0,-9999.0,104,8,0,306.21,40.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.5629940032959,-1.0,-1.0,-9999.0,-9999,4734.890625,301.0,309.0,-9999.0,-9999.0,112,8,0,307.21,80.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.6669921875,-1.0,-1.0,-9999.0,-9999,6274.41845703125,301.0,309.0,-9999.0,-9999.0,120,8,0,308.21,41.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.7709903717041,-1.0,-1.0,-9999.0,-9999,3843.0966796875,301.0,309.0,-9999.0,-9999.0,128,8,0,301.21,9.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.8749885559082,-1.0,-1.0,-9999.0,-9999,2605.42724609375,301.0,309.0,-9999.0,-9999.0,136,8,0,302.21,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.9789867401123,-1.0,-1.0,-9999.0,-9999,4961.20751953125,301.0,309.0,-9999.0,-9999.0,144,8,0,303.21,768.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.0869903564453,-1.0,-1.0,-9999.0,-9999,1769.8328857421875,301.0,309.0,-9999.0,-9999.0,152,8,0,304.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.1909885406494,-1.0,-1.0,-9999.0,-9999,1688.5628662109375,301.0,309.0,-9999.0,-9999.0,160,8,0,305.21,16.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.2949867248535,-1.0,-1.0,-9999.0,-9999,2001.0103759765625,301.0,309.0,-9999.0,-9999.0,168,8,0,306.21,62.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.3990135192871,-1.0,-1.0,-9999.0,-9999,2181.138671875,301.0,309.0,-9999.0,-9999.0,176,8,0,307.21,53.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.5030117034912,-1.0,-1.0,-9999.0,-9999,384.6590270996094,301.0,309.0,-9999.0,-9999.0,184,8,0,308.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
