error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,342.14301109313965,-1.0,-1.0,-9999.0,-9999,275.8104248046875,335.0,346.0,-9999.0,-9999.0,0,11,0,335.21,0.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,342.2860050201416,-1.0,-1.0,-9999.0,-9999,1409.706298828125,335.0,346.0,-9999.0,-9999.0,11,11,0,336.21,72.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,342.42899894714355,-1.0,-1.0,-9999.0,-9999,315.4053039550781,335.0,346.0,-9999.0,-9999.0,22,11,0,337.21,17.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,342.5719928741455,-1.0,-1.0,-9999.0,-9999,268.065673828125,335.0,346.0,-9999.0,-9999.0,33,11,0,338.21,21.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,342.71498680114746,-1.0,-1.0,-9999.0,-9999,320.4060363769531,335.0,346.0,-9999.0,-9999.0,44,11,0,339.21,11.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,342.8580093383789,-1.0,-1.0,-9999.0,-9999,226.33145141601562,335.0,346.0,-9999.0,-9999.0,55,11,0,340.21,32.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,343.00100326538086,-1.0,-1.0,-9999.0,-9999,178.34410095214844,335.0,346.0,-9999.0,-9999.0,66,11,0,341.21,28.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.1470012664795,-1.0,-1.0,-9999.0,-9999,157.47698974609375,335.0,346.0,-9999.0,-9999.0,77,11,0,342.21,41.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.28999519348145,-1.0,-1.0,-9999.0,-9999,228.8927001953125,335.0,346.0,-9999.0,-9999.0,88,11,0,343.21,18.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.4329891204834,-1.0,-1.0,-9999.0,-9999,299.3064880371094,335.0,346.0,-9999.0,-9999.0,99,11,0,344.21,21.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.57601165771484,-1.0,-1.0,-9999.0,-9999,306.9226379394531,335.0,346.0,-9999.0,-9999.0,110,11,0,345.21,13.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
