error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,180.0909948348999,-1.0,-1.0,-9999.0,-9999,6696.03955078125,285.0,292.0,-9999.0,-9999.0,0,7,0,285.16,0.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,180.18200397491455,-1.0,-1.0,-9999.0,-9999,6701.0146484375,285.0,292.0,-9999.0,-9999.0,7,7,0,286.16,0.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,180.27299880981445,-1.0,-1.0,-9999.0,-9999,10265.20703125,285.0,292.0,-9999.0,-9999.0,14,7,0,287.16,20.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,180.36399364471436,-1.0,-1.0,-9999.0,-9999,7465.22119140625,285.0,292.0,-9999.0,-9999.0,21,7,0,288.16,464.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,180.455002784729,-1.0,-1.0,-9999.0,-9999,6236.94140625,285.0,292.0,-9999.0,-9999.0,28,7,0,289.16,37.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,180.5459976196289,-1.0,-1.0,-9999.0,-9999,6717.62158203125,285.0,292.0,-9999.0,-9999.0,35,7,0,290.16,2549.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,180.63700675964355,-1.0,-1.0,-9999.0,-9999,6474.10986328125,285.0,292.0,-9999.0,-9999.0,42,7,0,291.16,3626.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.72800159454346,-1.0,-1.0,-9999.0,-9999,7540.1142578125,285.0,292.0,-9999.0,-9999.0,49,7,0,285.16,23.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.81899642944336,-1.0,-1.0,-9999.0,-9999,9553.689453125,285.0,292.0,-9999.0,-9999.0,56,7,0,286.16,25.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.910005569458,-1.0,-1.0,-9999.0,-9999,6227.06787109375,285.0,292.0,-9999.0,-9999.0,63,7,0,287.16,23.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.0010004043579,-1.0,-1.0,-9999.0,-9999,7213.3388671875,285.0,292.0,-9999.0,-9999.0,70,7,0,288.16,5.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.09600067138672,-1.0,-1.0,-9999.0,-9999,7911.3994140625,285.0,292.0,-9999.0,-9999.0,77,7,0,289.16,11.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.18699550628662,-1.0,-1.0,-9999.0,-9999,3826.095947265625,285.0,292.0,-9999.0,-9999.0,84,7,0,290.16,2214.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.27800464630127,-1.0,-1.0,-9999.0,-9999,3462.57177734375,285.0,292.0,-9999.0,-9999.0,91,7,0,291.16,4399.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.36899948120117,-1.0,-1.0,-9999.0,-9999,9324.7880859375,285.0,292.0,-9999.0,-9999.0,98,7,0,285.16,32.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.45999431610107,-1.0,-1.0,-9999.0,-9999,7623.43798828125,285.0,292.0,-9999.0,-9999.0,105,7,0,286.16,40.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.55100345611572,-1.0,-1.0,-9999.0,-9999,4593.74365234375,285.0,292.0,-9999.0,-9999.0,112,7,0,287.16,11.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.64199829101562,-1.0,-1.0,-9999.0,-9999,6580.51953125,285.0,292.0,-9999.0,-9999.0,119,7,0,288.16,169.0,,b' ',,,b' ',,b' ',,b' ',b' '
