error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.10699939727783,-1.0,-1.0,-9999.0,-9999,948.467041015625,344.0,352.0,-9999.0,-9999.0,0,8,0,344.21,459.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.2099962234497,-1.0,-1.0,-9999.0,-9999,172.50636291503906,344.0,352.0,-9999.0,-9999.0,8,8,0,345.21,11.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.31499576568604,-1.0,-1.0,-9999.0,-9999,179.67794799804688,344.0,352.0,-9999.0,-9999.0,16,8,0,346.21,30.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.42199802398682,-1.0,-1.0,-9999.0,-9999,92.70594787597656,344.0,352.0,-9999.0,-9999.0,24,8,0,347.21,38.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.52599620819092,-1.0,-1.0,-9999.0,-9999,93.833740234375,344.0,352.0,-9999.0,-9999.0,32,8,0,348.21,370.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,138.62999439239502,-1.0,-1.0,-9999.0,-9999,155.860107421875,344.0,352.0,-9999.0,-9999.0,40,8,0,349.21,9.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.73400688171387,-1.0,-1.0,-9999.0,-9999,158.80661010742188,344.0,352.0,-9999.0,-9999.0,48,8,0,350.21,12.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.83800506591797,-1.0,-1.0,-9999.0,-9999,127.07463073730469,344.0,352.0,-9999.0,-9999.0,56,8,0,351.21,18.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.94200325012207,-1.0,-1.0,-9999.0,-9999,163.18661499023438,344.0,352.0,-9999.0,-9999.0,64,8,0,344.21,31.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.04600143432617,-1.0,-1.0,-9999.0,-9999,168.563232421875,344.0,352.0,-9999.0,-9999.0,72,8,0,345.21,11.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.14999961853027,-1.0,-1.0,-9999.0,-9999,100.3897933959961,344.0,352.0,-9999.0,-9999.0,80,8,0,346.21,25.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
