error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,306.1039924621582,-1.0,-1.0,-9999.0,-9999,196.70213317871094,486.0,494.0,-9999.0,-9999.0,0,8,0,486.21,46.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,306.2079906463623,-1.0,-1.0,-9999.0,-9999,180.63970947265625,486.0,494.0,-9999.0,-9999.0,8,8,0,487.21,20.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,306.3119888305664,-1.0,-1.0,-9999.0,-9999,104.79054260253906,486.0,494.0,-9999.0,-9999.0,16,8,0,488.21,0.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,306.4159870147705,-1.0,-1.0,-9999.0,-9999,180.58473205566406,486.0,494.0,-9999.0,-9999.0,24,8,0,489.21,28.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,306.5200138092041,-1.0,-1.0,-9999.0,-9999,178.0784149169922,486.0,494.0,-9999.0,-9999.0,32,8,0,490.21,11.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,306.6240119934082,-1.0,-1.0,-9999.0,-9999,115.32809448242188,486.0,494.0,-9999.0,-9999.0,40,8,0,491.21,26.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,306.7280101776123,-1.0,-1.0,-9999.0,-9999,144.9103546142578,486.0,494.0,-9999.0,-9999.0,48,8,0,492.21,10.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,306.8320083618164,-1.0,-1.0,-9999.0,-9999,166.80877685546875,486.0,494.0,-9999.0,-9999.0,56,8,0,493.21,55.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,306.9360065460205,-1.0,-1.0,-9999.0,-9999,182.12149047851562,486.0,494.0,-9999.0,-9999.0,64,8,0,486.21,0.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.0440101623535,-1.0,-1.0,-9999.0,-9999,121.36524200439453,486.0,494.0,-9999.0,-9999.0,72,8,0,487.21,0.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.1480083465576,-1.0,-1.0,-9999.0,-9999,101.31468200683594,486.0,494.0,-9999.0,-9999.0,80,8,0,488.21,60.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
