error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,342.14301109313965,-1.0,-1.0,-9999.0,-9999,482.4647216796875,335.0,346.0,-9999.0,-9999.0,0,11,0,335.21,27.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,342.2860050201416,-1.0,-1.0,-9999.0,-9999,1702.4432373046875,335.0,346.0,-9999.0,-9999.0,11,11,0,336.21,220.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,342.42899894714355,-1.0,-1.0,-9999.0,-9999,323.24078369140625,335.0,346.0,-9999.0,-9999.0,22,11,0,337.21,19.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,342.5719928741455,-1.0,-1.0,-9999.0,-9999,302.3090515136719,335.0,346.0,-9999.0,-9999.0,33,11,0,338.21,31.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,342.71498680114746,-1.0,-1.0,-9999.0,-9999,733.4365234375,335.0,346.0,-9999.0,-9999.0,44,11,0,339.21,51.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,342.8580093383789,-1.0,-1.0,-9999.0,-9999,1136.474365234375,335.0,346.0,-9999.0,-9999.0,55,11,0,340.21,39.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,343.00100326538086,-1.0,-1.0,-9999.0,-9999,547.0629272460938,335.0,346.0,-9999.0,-9999.0,66,11,0,341.21,31.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.1480026245117,-1.0,-1.0,-9999.0,-9999,259.38726806640625,335.0,346.0,-9999.0,-9999.0,77,11,0,342.21,5.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.2909965515137,-1.0,-1.0,-9999.0,-9999,429.61474609375,335.0,346.0,-9999.0,-9999.0,88,11,0,343.21,18.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.4339904785156,-1.0,-1.0,-9999.0,-9999,1545.271728515625,335.0,346.0,-9999.0,-9999.0,99,11,0,344.21,40.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.57701301574707,-1.0,-1.0,-9999.0,-9999,2626.768798828125,335.0,346.0,-9999.0,-9999.0,110,11,0,345.21,0.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.720006942749,-1.0,-1.0,-9999.0,-9999,1360.54248046875,335.0,346.0,-9999.0,-9999.0,121,11,0,335.21,101.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.863000869751,-1.0,-1.0,-9999.0,-9999,846.6956787109375,335.0,346.0,-9999.0,-9999.0,132,11,0,336.21,1044.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,344.00599479675293,-1.0,-1.0,-9999.0,-9999,1472.49755859375,335.0,346.0,-9999.0,-9999.0,143,11,0,337.21,10.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,344.15199279785156,-1.0,-1.0,-9999.0,-9999,1116.7357177734375,335.0,346.0,-9999.0,-9999.0,154,11,0,338.21,24.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,344.2949867248535,-1.0,-1.0,-9999.0,-9999,1132.409912109375,335.0,346.0,-9999.0,-9999.0,165,11,0,339.21,24.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,344.4390106201172,-1.0,-1.0,-9999.0,-9999,1207.644287109375,335.0,346.0,-9999.0,-9999.0,176,11,0,340.21,81.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,344.5810031890869,-1.0,-1.0,-9999.0,-9999,784.8237915039062,335.0,346.0,-9999.0,-9999.0,187,11,0,341.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,344.72399711608887,-1.0,-1.0,-9999.0,-9999,1670.79443359375,335.0,346.0,-9999.0,-9999.0,198,11,0,342.21,21.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,344.8669910430908,-1.0,-1.0,-9999.0,-9999,1454.6729736328125,335.0,346.0,-9999.0,-9999.0,209,11,0,343.21,51.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,345.01001358032227,-1.0,-1.0,-9999.0,-9999,430.2415771484375,335.0,346.0,-9999.0,-9999.0,220,11,0,344.21,55.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,345.1570129394531,-1.0,-1.0,-9999.0,-9999,272.1398010253906,335.0,346.0,-9999.0,-9999.0,231,11,0,345.21,286.0,,b' ',,,b' ',,b' ',,b' ',b' '
