error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,36.09099984169006,-1.0,-1.0,-9999.0,-9999,160.4281768798828,317.0,324.0,-9999.0,-9999.0,0,7,0,317.11,10.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,36.18199825286865,-1.0,-1.0,-9999.0,-9999,153.25660705566406,317.0,324.0,-9999.0,-9999.0,7,7,0,318.11,37.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,36.27300024032593,-1.0,-1.0,-9999.0,-9999,139.97935485839844,317.0,324.0,-9999.0,-9999.0,14,7,0,319.11,15.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,36.36399865150452,-1.0,-1.0,-9999.0,-9999,248.240234375,317.0,324.0,-9999.0,-9999.0,21,7,0,320.11,16.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,36.45500063896179,-1.0,-1.0,-9999.0,-9999,191.54852294921875,317.0,324.0,-9999.0,-9999.0,28,7,0,321.11,26.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,36.54599905014038,-1.0,-1.0,-9999.0,-9999,178.0166778564453,317.0,324.0,-9999.0,-9999.0,35,7,0,322.11,0.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,36.637001037597656,-1.0,-1.0,-9999.0,-9999,142.6265106201172,317.0,324.0,-9999.0,-9999.0,42,7,0,323.11,58.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,36.727999448776245,-1.0,-1.0,-9999.0,-9999,188.4956817626953,317.0,324.0,-9999.0,-9999.0,49,7,0,317.11,21.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,36.81900143623352,-1.0,-1.0,-9999.0,-9999,200.45968627929688,317.0,324.0,-9999.0,-9999.0,56,7,0,318.11,0.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,36.90999984741211,-1.0,-1.0,-9999.0,-9999,120.72679901123047,317.0,324.0,-9999.0,-9999.0,63,7,0,319.11,50.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
