error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,354.16900634765625,-1.0,-1.0,-9999.0,-9999,306.58978271484375,374.0,387.0,-9999.0,-9999.0,0,13,0,374.21,25.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,354.3380069732666,-1.0,-1.0,-9999.0,-9999,1083.5745849609375,374.0,387.0,-9999.0,-9999.0,13,13,0,375.21,54.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,354.50700759887695,-1.0,-1.0,-9999.0,-9999,1987.2657470703125,374.0,387.0,-9999.0,-9999.0,26,13,0,376.21,38.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,354.6760082244873,-1.0,-1.0,-9999.0,-9999,364.2957458496094,374.0,387.0,-9999.0,-9999.0,39,13,0,377.21,14.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,354.84500885009766,-1.0,-1.0,-9999.0,-9999,360.25732421875,374.0,387.0,-9999.0,-9999.0,52,13,0,378.21,41.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,355.014009475708,-1.0,-1.0,-9999.0,-9999,919.021484375,374.0,387.0,-9999.0,-9999.0,65,13,0,379.21,28.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,355.1869869232178,-1.0,-1.0,-9999.0,-9999,1177.91357421875,374.0,387.0,-9999.0,-9999.0,78,13,0,380.21,30.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.3559875488281,-1.0,-1.0,-9999.0,-9999,951.651123046875,374.0,387.0,-9999.0,-9999.0,91,13,0,381.21,7.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.5249881744385,-1.0,-1.0,-9999.0,-9999,1801.638671875,374.0,387.0,-9999.0,-9999.0,104,13,0,382.21,21.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.6939888000488,-1.0,-1.0,-9999.0,-9999,1329.636474609375,374.0,387.0,-9999.0,-9999.0,117,13,0,383.21,5.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
